STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
104,11009,10059,3124,6935,950,129,821,3936,462,3474,0
105,10963,10018,3119,6899,945,130,815,3982,466,3516,0
106,10919,9970,3113,6857,949,131,818,4026,471,3555,0
107,10869,9928,3111,6817,941,126,815,4076,478,3598,0
108,10821,9887,3106,6781,934,128,806,4124,481,3643,0
109,10773,9857,3105,6752,916,123,793,4172,487,3685,0
110,10730,9816,3102,6714,914,119,795,4215,494,3721,0
111,10681,9793,3103,6690,888,111,777,4264,501,3763,0
112,10638,9761,3098,6663,877,109,768,4307,508,3799,0
113,10599,9724,3090,6634,875,113,762,4346,512,3834,0
114,10557,9699,3088,6611,858,110,748,4388,517,3871,0
115,10513,9666,3077,6589,847,116,731,4432,522,3910,0
116,10480,9645,3074,6571,835,115,720,4465,526,3939,0
117,10435,9604,3069,6535,831,112,719,4510,534,3976,0
118,10391,9585,3066,6519,806,107,699,4554,542,4012,0
119,10338,9566,3063,6503,772,97,675,4607,555,4052,0
120,10299,9539,3063,6476,760,89,671,4646,563,4083,0
121,10254,9498,3060,6438,756,85,671,4691,570,4121,0
122,10215,9464,3054,6410,751,85,666,4730,576,4154,0
123,10165,9437,3049,6388,728,82,646,4780,584,4196,0
124,10123,9405,3045,6360,718,84,634,4822,586,4236,0
125,10074,9379,3044,6335,695,82,613,4871,589,4282,0
126,10034,9360,3043,6317,674,71,603,4911,601,4310,0
127,9994,9338,3037,6301,656,73,583,4951,605,4346,0
128,9956,9306,3034,6272,650,72,578,4989,609,4380,0
129,9912,9265,3025,6240,647,75,572,5033,615,4418,0
130,9877,9231,3023,6208,646,75,571,5068,617,4451,0
131,9847,9191,3016,6175,656,76,580,5098,623,4475,0
132,9810,9144,3010,6134,666,80,586,5135,625,4510,0
133,9772,9106,3004,6102,666,82,584,5173,629,4544,0
134,9732,9074,2999,6075,658,79,579,5213,637,4576,0
135,9701,9032,2992,6040,669,85,584,5244,638,4606,0
136,9666,9014,2987,6027,652,86,566,5279,642,4637,0
137,9634,8983,2986,5997,651,82,569,5311,647,4664,0
138,9606,8946,2981,5965,660,84,576,5339,650,4689,0
139,9565,8923,2978,5945,642,84,558,5380,653,4727,0
140,9534,8875,2977,5898,659,78,581,5411,660,4751,0
141,9501,8844,2974,5870,657,76,581,5444,665,4779,0
142,9457,8819,2971,5848,638,72,566,5488,672,4816,0
143,9432,8774,2967,5807,658,72,586,5513,676,4837,0
144,9388,8729,2961,5768,659,72,587,5557,682,4875,0
