STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
430,4269,4222,2435,1787,47,10,37,10676,1270,9406,0
431,4262,4222,2436,1786,40,8,32,10683,1271,9412,0
432,4258,4220,2436,1784,38,7,31,10687,1272,9415,0
433,4254,4218,2434,1784,36,8,28,10691,1273,9418,0
434,4253,4219,2434,1785,34,8,26,10692,1273,9419,0
435,4253,4219,2433,1786,34,9,25,10692,1273,9419,0
436,4252,4219,2434,1785,33,8,25,10693,1273,9420,0
437,4249,4220,2434,1786,29,8,21,10696,1273,9423,0
438,4247,4221,2435,1786,26,6,20,10698,1274,9424,0
439,4241,4221,2435,1786,20,4,16,10704,1276,9428,0
440,4239,4221,2435,1786,18,4,14,10706,1276,9430,0
441,4237,4221,2435,1786,16,4,12,10708,1276,9432,0
442,4234,4221,2435,1786,13,3,10,10711,1277,9434,0
443,4230,4220,2435,1785,10,2,8,10715,1278,9437,0
444,4230,4221,2435,1786,9,2,7,10715,1278,9437,0
445,4230,4221,2435,1786,9,2,7,10715,1278,9437,0
446,4229,4222,2435,1787,7,2,5,10716,1278,9438,0
447,4228,4222,2435,1787,6,2,4,10717,1278,9439,0
448,4227,4222,2435,1787,5,2,3,10718,1278,9440,0
449,4225,4222,2435,1787,3,2,1,10720,1278,9442,0
450,4225,4222,2435,1787,3,2,1,10720,1278,9442,0
451,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
452,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
453,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
454,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
455,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
456,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
457,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
458,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
459,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
460,4223,4222,2435,1787,1,0,1,10722,1280,9442,0
461,4222,4222,2435,1787,0,0,0,10723,1280,9443,0
