STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
110,14753,14725,7507,7218,28,8,20,239,59,180,0
111,14751,14725,7507,7218,26,8,18,241,59,182,0
112,14750,14722,7506,7216,28,9,19,242,59,183,0
113,14748,14719,7506,7213,29,8,21,244,60,184,0
114,14746,14715,7506,7209,31,8,23,246,60,186,0
115,14742,14716,7506,7210,26,5,21,250,63,187,0
116,14741,14715,7506,7209,26,5,21,251,63,188,0
117,14737,14713,7505,7208,24,6,18,255,63,192,0
118,14736,14712,7504,7208,24,7,17,256,63,193,0
119,14734,14707,7502,7205,27,9,18,258,63,195,0
120,14734,14703,7502,7201,31,9,22,258,63,195,0
121,14733,14705,7502,7203,28,8,20,259,64,195,0
122,14730,14700,7501,7199,30,8,22,262,65,197,0
123,14728,14697,7499,7198,31,8,23,264,67,197,0
124,14726,14692,7499,7193,34,8,26,266,67,199,0
125,14724,14687,7498,7189,37,9,28,268,67,201,0
126,14722,14687,7498,7189,35,9,26,270,67,203,0
127,14721,14683,7496,7187,38,11,27,271,67,204,0
128,14719,14680,7496,7184,39,10,29,273,68,205,0
129,14718,14678,7496,7182,40,10,30,274,68,206,0
130,14717,14670,7494,7176,47,12,35,275,68,207,0
131,14717,14668,7495,7173,49,11,38,275,68,207,0
132,14716,14662,7492,7170,54,14,40,276,68,208,0
133,14715,14658,7492,7166,57,14,43,277,68,209,0
134,14712,14655,7491,7164,57,14,43,280,69,211,0
135,14708,14653,7489,7164,55,14,41,284,71,213,0
136,14706,14651,7488,7163,55,15,40,286,71,215,0
137,14704,14645,7486,7159,59,15,44,288,73,215,0
138,14702,14639,7485,7154,63,15,48,290,74,216,0
139,14696,14637,7484,7153,59,13,46,296,77,219,0
140,14693,14633,7482,7151,60,15,45,299,77,222,0
141,14691,14631,7481,7150,60,15,45,301,78,223,0
142,14685,14633,7482,7151,52,12,40,307,80,227,0
143,14681,14631,7481,7150,50,13,37,311,80,231,0
144,14678,14630,7480,7150,48,13,35,314,81,233,0
145,14678,14627,7478,7149,51,15,36,314,81,233,0
146,14675,14625,7477,7148,50,16,34,317,81,236,0
147,14673,14623,7477,7146,50,16,34,319,81,238,0
148,14667,14624,7477,7147,43,15,28,325,82,243,0
149,14663,14624,7478,7146,39,14,25,329,82,247,0
150,14659,14624,7478,7146,35,13,22,333,83,250,0
151,14654,14625,7477,7148,29,12,17,338,85,253,0
152,14650,14625,7477,7148,25,10,15,342,87,255,0
153,14649,14624,7477,7147,25,9,16,343,88,255,0
154,14644,14624,7478,7146,20,7,13,348,89,259,0
155,14642,14625,7479,7146,17,5,12,350,90,260,0
156,14640,14627,7480,7147,13,2,11,352,92,260,0
157,14639,14623,7480,7143,16,2,14,353,92,261,0
158,14639,14623,7480,7143,16,2,14,353,92,261,0
159,14635,14622,7480,7142,13,1,12,357,93,264,0
160,14633,14621,7480,7141,12,1,11,359,93,266,0
161,14633,14619,7479,7140,14,2,12,359,93,266,0
162,14633,14618,7479,7139,15,2,13,359,93,266,0
163,14632,14618,7479,7139,14,2,12,360,93,267,0
164,14631,14616,7478,7138,15,3,12,361,93,268,0
